x    y
2.166855730000000051e+02 5.374999999999999917e-02
2.169267040000000009e+02 5.500000000000000028e-02
2.170596630000000005e+02 5.625000000000000139e-02
2.171432890000000100e+02 5.750000000000000250e-02
2.174419709999999952e+02 5.875000000000000361e-02
2.175858780000000081e+02 6.000000000000000472e-02
2.176415570000000059e+02 6.124999999999999889e-02
2.180675449999999955e+02 6.250000000000000000e-02
2.183128989999999874e+02 6.375000000000000111e-02
2.184138759999999877e+02 6.500000000000000222e-02
2.186022629999999936e+02 6.625000000000000333e-02
2.187295729999999878e+02 6.750000000000000444e-02
2.187334189999999978e+02 6.875000000000000555e-02
2.188712260000000072e+02 7.000000000000000666e-02
2.189706370000000106e+02 7.125000000000000777e-02
2.189772749999999917e+02 7.250000000000000888e-02
2.190558560000000057e+02 7.374999999999999611e-02
2.191838700000000131e+02 7.499999999999999722e-02
2.192535509999999874e+02 7.624999999999999833e-02
2.192598700000000065e+02 7.749999999999999944e-02
2.197955790000000036e+02 7.875000000000000056e-02
2.199217079999999953e+02 8.000000000000000167e-02
2.200648300000000006e+02 8.125000000000000278e-02
2.202454109999999901e+02 8.250000000000000389e-02
2.204621300000000019e+02 8.375000000000000500e-02
2.205392999999999972e+02 8.500000000000000611e-02
2.205426899999999932e+02 8.625000000000000722e-02
2.205825340000000097e+02 8.750000000000000833e-02
2.207740579999999966e+02 8.875000000000000944e-02
2.210000379999999893e+02 8.999999999999999667e-02
2.210605500000000063e+02 9.124999999999999778e-02
2.213157930000000135e+02 9.249999999999999889e-02
2.214105830000000026e+02 9.375000000000000000e-02
2.214820540000000051e+02 9.500000000000000111e-02
2.216264799999999866e+02 9.625000000000000222e-02
2.217444439999999872e+02 9.750000000000000333e-02
2.217573629999999980e+02 9.875000000000000444e-02
2.218042069999999910e+02 1.000000000000000056e-01
2.218979449999999929e+02 1.012500000000000067e-01
2.219289980000000071e+02 1.025000000000000078e-01
2.219313359999999875e+02 1.037500000000000089e-01
2.220652469999999994e+02 1.050000000000000100e-01
2.220753550000000018e+02 1.062499999999999972e-01
2.221185830000000010e+02 1.074999999999999983e-01
2.221219409999999925e+02 1.087499999999999994e-01
2.221458880000000136e+02 1.100000000000000006e-01
2.223350890000000106e+02 1.112500000000000017e-01
2.224468209999999999e+02 1.125000000000000028e-01
2.224554679999999962e+02 1.137500000000000039e-01
2.225421580000000006e+02 1.150000000000000050e-01
2.226118250000000103e+02 1.162500000000000061e-01
2.227816100000000006e+02 1.175000000000000072e-01
2.227930399999999906e+02 1.187500000000000083e-01
2.228357019999999977e+02 1.200000000000000094e-01
2.228651999999999873e+02 1.212499999999999967e-01
2.230192839999999990e+02 1.224999999999999978e-01
2.230970020000000034e+02 1.237499999999999989e-01
2.231154070000000047e+02 1.250000000000000000e-01
2.231267860000000098e+02 1.262500000000000011e-01
2.231391580000000090e+02 1.275000000000000022e-01
2.231819580000000087e+02 1.287500000000000033e-01
2.232193430000000092e+02 1.300000000000000044e-01
2.234594419999999957e+02 1.312500000000000056e-01
2.235686410000000137e+02 1.325000000000000067e-01
2.235699799999999868e+02 1.337500000000000078e-01
2.237133440000000064e+02 1.350000000000000089e-01
2.238566040000000044e+02 1.362500000000000100e-01
2.238988990000000001e+02 1.375000000000000111e-01
2.240333789999999965e+02 1.387500000000000122e-01
2.240803589999999872e+02 1.400000000000000133e-01
2.241604069999999922e+02 1.412500000000000144e-01
2.241654330000000073e+02 1.425000000000000155e-01
2.242133760000000109e+02 1.437500000000000167e-01
2.242685989999999947e+02 1.450000000000000178e-01
2.244562569999999937e+02 1.462499999999999911e-01
2.244823509999999942e+02 1.474999999999999922e-01
2.247335040000000106e+02 1.487499999999999933e-01
2.247434279999999944e+02 1.499999999999999944e-01
2.248244889999999998e+02 1.512499999999999956e-01
2.249878899999999931e+02 1.524999999999999967e-01
2.252957560000000115e+02 1.537499999999999978e-01
2.253245760000000075e+02 1.549999999999999989e-01
2.254823869999999886e+02 1.562500000000000000e-01
2.255477549999999951e+02 1.575000000000000011e-01
2.255503649999999993e+02 1.587500000000000022e-01
2.256204520000000002e+02 1.600000000000000033e-01
2.256339189999999917e+02 1.612500000000000044e-01
2.257960689999999886e+02 1.625000000000000056e-01
2.258040200000000084e+02 1.637500000000000067e-01
2.260393789999999967e+02 1.650000000000000078e-01
2.260568560000000105e+02 1.662500000000000089e-01
2.262353209999999990e+02 1.675000000000000100e-01
2.263113909999999862e+02 1.687500000000000111e-01
2.263185550000000035e+02 1.700000000000000122e-01
2.263768919999999980e+02 1.712500000000000133e-01
2.264568759999999941e+02 1.725000000000000144e-01
2.265098859999999945e+02 1.737500000000000155e-01
2.266132570000000044e+02 1.750000000000000167e-01
2.266828419999999937e+02 1.762500000000000178e-01
2.267135509999999954e+02 1.774999999999999911e-01
2.267793110000000070e+02 1.787499999999999922e-01
2.267829749999999933e+02 1.799999999999999933e-01
2.269449219999999912e+02 1.812499999999999944e-01
2.270746129999999994e+02 1.824999999999999956e-01
2.270995849999999905e+02 1.837499999999999967e-01
2.272167660000000069e+02 1.849999999999999978e-01
2.274227730000000065e+02 1.862499999999999989e-01
2.276942760000000021e+02 1.875000000000000000e-01
2.277432540000000074e+02 1.887500000000000011e-01
2.277776550000000100e+02 1.900000000000000022e-01
2.278194599999999923e+02 1.912500000000000033e-01
